"","playerName","restrictedDuo"
"238","Eric Ault [US]","Groudon Lunala"
"239","Ashley Scobey [US]","Calyrex [Ice Rider] Kyogre"
"240","Ronald Ayers [US]","Calyrex [Ice Rider] Miraidon"
"241","Blake Mullins [US]","Calyrex [Shadow Rider] Kyogre"
"242","Cary D'Ortona [US]","Calyrex [Ice Rider] Miraidon"
"243","Alex Hoak [US]","Calyrex [Ice Rider] Groudon"
"244","Joseph Ugarte [US]","Groudon Lunala"
"245","Brian Hough [US]","Calyrex [Shadow Rider] Zamazenta"
"246","Dillon O’Donovan [US]","Groudon Lunala"
"247","Jacob Schaefer [US]","Calyrex [Shadow Rider] Zacian"
"248","Michael Aguirre [US]","Koraidon Miraidon"
"249","Brian Theis [US]","Lunala Miraidon"
"250","Owen Murphy [US]","Miraidon Zamazenta"
"251","Juan Manuel Odriozola [ES]","Koraidon Lunala"
"252","David Baumgardt [US]","Calyrex [Ice Rider] Miraidon"
"253","David Dayan [US]","Miraidon Terapagos"
"254","Daniel Yu [US]","Kyogre Zamazenta"
"255","Philip Cohen [US]","Calyrex [Ice Rider] Kyogre"
"256","Connor Swikart [US]","Calyrex [Shadow Rider] Zamazenta"
"257","Brendon Gustaf [US]","Eternatus Groudon"
"258","Brady Smith [US]","Calyrex [Shadow Rider] Koraidon"
"259","Sebastian Gonzalez [US]","Calyrex [Ice Rider] Miraidon"
"260","Nicholas Donnelly [US]","Calyrex [Shadow Rider] Koraidon"
"261","Kenneth Gamboa [MX]","Calyrex [Ice Rider] Miraidon"
"262","John Mills [US]","Calyrex [Shadow Rider] Koraidon"
"263","Clark Jones [US]","Koraidon Lunala"
"264","Sebastian Escalante [AR]","Calyrex [Ice Rider] Kyogre"
"265","Austin Litofsky [US]","Groudon Lunala"
"266","Jack Byers [US]","Groudon Miraidon"
"267","Daniel Daertni [SE]","Kyogre Zamazenta"
"268","Jonathan Zuniga [US]","Calyrex [Shadow Rider] Zamazenta"
"269","Arath Alejandro Vera Almaraz [MX]","Calyrex [Shadow Rider] Terapagos"
"270","alexander canseco [MX]","Calyrex [Shadow Rider] Terapagos"
"271","Louis Milich [US]","Calyrex [Shadow Rider] Kyogre"
"272","Arthur Collier [US]","Kyurem [White Kyurem] Lunala"
"273","Calvin Tobias [US]","Calyrex [Ice Rider] Miraidon"
"274","Marco Marras [IT]","Lunala Miraidon"
"275","Oliver Eskolin [FI]","Calyrex [Shadow Rider] Ho-Oh"
"276","Benjamin Flitcroft [US]","Calyrex [Shadow Rider] Miraidon"
"277","Tanner Torr [US]","Calyrex [Shadow Rider] Miraidon"
"278","Jose Flott [US]","Calyrex [Shadow Rider] Miraidon"
"279","Victor Meriño [CL]","Calyrex [Shadow Rider] Miraidon"
"280","Wei Deng [UK]","Calyrex [Ice Rider] Lunala"
"281","Maxime De Cock [BE]","Calyrex [Shadow Rider] Koraidon"
"282","Jon-Luke Martin [US]","Calyrex [Shadow Rider] Zamazenta"
"283","Tyler Deacy [US]","Calyrex [Shadow Rider] Zamazenta"
"284","Lucy Fleming [US]","Calyrex [Ice Rider] Reshiram"
"285","Zac Emerzian [US]","Calyrex [Shadow Rider] Solgaleo"
"286","Victor Manoath [MX]","Calyrex [Shadow Rider] Zamazenta"
"287","Lee Hodge [US]","Lunala Miraidon"
"288","Jermaine Mcleod [US]","Kyogre Zamazenta"
"289","Jasmine Bailey [US]","Giratina [Origin Forme] Zamazenta"
"290","Aaron Kreimer [US]","Miraidon Zamazenta"
"291","Kayla Smith [US]","Calyrex [Shadow Rider] Miraidon"
"292","Carlos Young [US]","Calyrex [Shadow Rider] Zamazenta"
"293","Amrit Mann [UK]","Calyrex [Ice Rider] Koraidon"
"294","Angel Torres [US]","Calyrex [Shadow Rider] Koraidon"
"295","Gareth Jones [US]","Calyrex [Ice Rider] Miraidon"
"296","Malik Haridi [US]","Lunala Miraidon"
"297","Alyssa Smith [US]","Miraidon Zamazenta"
"298","Baby Singh [US]","Lunala Miraidon"
"299","Chase Rumpca [US]","Lunala Miraidon"
"300","Noah Carney [US]","Calyrex [Ice Rider] Kyogre"
"301","Brenden Moses [US]","Calyrex [Shadow Rider] Miraidon"
"302","Bukunmi Oyewole [US]","Calyrex [Ice Rider] Kyogre"
"303","Alexis Harrison [US]","Calyrex [Shadow Rider] Zamazenta"
"304","Taylor Kamel-Frank [US]","Miraidon Zamazenta"
"305","Kevin Swastek [US]","Calyrex [Shadow Rider] Koraidon"
"306","Matthew Harris [US]","Calyrex [Ice Rider] Kyogre"
"307","Christopher Chau [US]","Ho-Oh Miraidon"
"308","Antonio Sánchez [ES]","Calyrex [Shadow Rider] Zamazenta"
"309","Alessio Ferrara [IT]","Calyrex [Shadow Rider] Koraidon"
"310","Samuel Moore [US]","Calyrex [Ice Rider] Miraidon"
"311","Frederick Miller [US]","Kyogre Lunala"
"312","Miguel Martinez Perdomo [US]","Calyrex [Shadow Rider] Zamazenta"
"313","Jonathan Quiñones [US]","Calyrex [Shadow Rider] Terapagos"
"314","Nicolás Nieto [CL]","Lunala Miraidon"
"315","Daniel Nuñez [MX]","Miraidon Zamazenta"
"316","Michael Uko [US]","Calyrex [Shadow Rider] Koraidon"
"317","Olivia Moledzki [CA]","Calyrex [Ice Rider] Miraidon"
"318","Justin Stahler [US]","Calyrex [Shadow Rider] Koraidon"
"319","Allan Martinez [US]","Calyrex [Shadow Rider] Koraidon"
"320","Joshua Lorcy [US]","Koraidon Lunala"
"321","Nicholas Hegel [US]","Calyrex [Shadow Rider] Koraidon"
"322","Adrien Hurley [US]","Calyrex [Ice Rider] Miraidon"
"323","Michael Spinetta-McCarthy [US]","Calyrex [Ice Rider] Miraidon"
"324","Francesco Di Biase [IT]","Miraidon Zamazenta"
"325","Morgan O'Hare [US]","Calyrex [Ice Rider] Groudon"
"326","Matthew Engbrecht [CA]","Lunala Miraidon"
"327","Jimmy Friedle [US]","Calyrex [Ice Rider] Kyogre"
"328","Alexander Chung [US]","Calyrex [Shadow Rider] Zamazenta"
"329","Gilbert Yao [US]","Calyrex [Shadow Rider] Groudon"
"330","James Craig [CA]","Calyrex [Ice Rider] Miraidon"
"331","Cameron Bloniarz [US]","Calyrex [Ice Rider] Necrozma [Dawn Wings]"
"332","Matthew So [US]","Calyrex [Ice Rider] Miraidon"
"333","Raymond Pini [US]","Kyogre Zacian"
"334","Jonathan Chemburkar [US]","Calyrex [Ice Rider] Miraidon"
"335","Seung Lee [US]","Calyrex [Shadow Rider] Zamazenta"
"336","Stephen Williams [US]","Calyrex [Ice Rider] Miraidon"
"337","Sky Konsti [AU]","Calyrex [Ice Rider] Kyogre"
"338","Grant Laird [US]","Calyrex [Shadow Rider] Miraidon"
